Внешний код;Название;Артикул;Доступное количество;Цена;Производитель;;;
1000;Измельчитель Comfort;3003;0;2496;Leifheit;;;
1003;Терка универсальная Microcut slicer;3012;0;1250;Leifheit;;;
1004;Терка-слайсер для овощей Cucumber Slicer;3015;0;925;Leifheit;;;
1008;Ложка кухонная;3024;0;900;Leifheit;;;
1009;Половник большой;3025;0;1600;Leifheit;;;
1010;Ложка для спагетти;3026;4;1300;Leifheit;;;
1011;Половник малый;3027;0;1100;Leifheit;;;
1012;Вилка для мяса;3029;0;890;Leifheit;;;
1013;Венчик малый;3030;1;690;Leifheit;;;
1014;Венчик;3031;0;800;Leifheit;;;
1015;Картофелемялка;3032;1;1090;Leifheit;;;
1020;Измельчитель Gourmet;3046;0;2000;Leifheit;;;
1021;Мерная кружка 1л;3048;4;1490;Leifheit;;;
1022;Мерная кружка 0.5л;3049;0;790;Leifheit;;;
1025;Ложка для мороженого;3062;0;1240;Leifheit;;;
1031;Разделочная доска Vario Cut, 42 x 31 см;3086;0;3020;Leifheit;;;
1032;Лопатка-щипцы 2 в 1;3089;102;1380;Leifheit;;;
1033;Защита от брызг;3090;4;4060;Leifheit;;;
1036;Пресс для чеснока;3124;0;1190;Leifheit;;;
1037;Нож универсальный ProLine;3125;5;1480;Leifheit;;;
1038;Открывалка для бутылок;3126;0;500;Leifheit;;;
1039;Овощечистка;3127;0;400;Leifheit;;;
1040;Нож для пиццы;3128;0;705;Leifheit;;;
1041;Нож для сыра;3129;0;890;Leifheit;;;
1042;Нож универсальный;3131;0;1900;Leifheit;;;
1043;Пресс для чеснока;3134;0;1415;Leifheit;;;
1044;Овощечистка;3138;0;700;Leifheit;;;
1378;Ножницы для птицы Proline;3139;0;2600;Leifheit;;;
1046;Отделитель сердцевины яблока;3142;0;800;Leifheit;;;
1047;Молоток-топорик для мяса;3143;0;2500;Leifheit;;;
1048;Измельчитель для зелени;3144;4;1770;Leifheit;;;
1049;Резка для мяса и теста;3145;0;990;Leifheit;;;
1050;Чеснокодавилка Knobi-King;3146;31;1590;Leifheit;;;
1051;Мельница для сыра;3148;0;1200;Leifheit;;;
1052;Мельница для зелени;3149;0;1920;Leifheit;;;
1054;Овощечистка с плавающим лезвием;3151;5;600;Leifheit;;;
1055;Ножницы универсальные;3152;0;986;Leifheit;;;
1056;Штопор ComfortLine;3153;0;900;Leifheit;;;
1057;Отделитель косточек вишни;3156;37;1090;Leifheit;;;
1059;Овощечистка Y-образная;3158;20;930;Leifheit;;;
3646;Резка для картофеля и овощей;3206;2;3455;Leifheit;;;
1060;Веник механический Rotaro S;11402;0;6390;Leifheit;;;
1061;Веник механический Regulus;11700;2;4590;Leifheit;;;
3647;Паровая швабра CleanTenso;11910;0;17645;Leifheit;;;
1857;Беспроводной пылесос Regulus PowVac 2 в 1;11926;0;36000;Leifheit;;;
1063;Веник электрический Power Delta Professional;11930;0;5940;Leifheit;;;
1064;Веник механический Regulus Supra;11950;0;3100;Leifheit;;;
330607;Ваза Dynamic 30 см;12304;1;3112;Leonardo;;;
330608;Ваза стеклянная Dynamic 40 см;12305;2;4352;Leonardo;;;
330609;Ваза стеклянная Dynamic 50 см;12306;0;5368;Leonardo;;;
